,曲目,曲师,难度,定数,分数,ptt,评级,离线
112,1F√,WHITEFISTS,FTR,8.2,10000711,10.2,PM,
113,Eccentric Tale,Yamajet,FTR,8.4,9959675,10.2,EX+,
114,Moonheart,翡乃イスカ,FTR,8.4,9958610,10.19,EX+,
115,REconstruction,Ryazan,FTR,8.4,9958346,10.19,EX+,
116,cry of viyella,Laur,FTR,8.5,9937478,10.19,EX+,
117,Grimheart,Puru,FTR,8.6,9917421,10.19,EX+,
118,Ether Strike,Akira Complex,PRS,8.3,9976879,10.18,EX+,
119,Reinvent,Sound Souler,FTR,8.5,9936198,10.18,EX+,
120,Silent Rush,Soleily,FTR,8.6,9915810,10.18,EX+,
121,Aegleseeker,Silentroom vs Frums,PRS,8.8,9875551,10.18,EX,
122,Gekka (Short Version),Nhato,FTR,8.6,9915040,10.18,EX+,
123,MERLIN,REDALiCE,FTR,8.9,9853106,10.17,EX,
124,Diode,Kolaa,FTR,8.1,10000667,10.1,PM,
125,Modelista,HiTECH NINJA,FTR,10.0,9525494,10.08,AA,
126,Tie me down gently,溝口ゆうま feat. 大瀬良あい,FTR,8.3,9952287,10.06,EX+,
127,Genesis,Iris,FTR,8.2,9965615,10.03,EX+,
128,Snow White,Puru,FTR,8.4,9924204,10.02,EX+,
129,Purgatorium,お月さま交響曲,BYD,9.6,9624993,10.02,AA,
130,Dandelion,Farhan,FTR,8.5,9903065,10.02,EX+,
131,April showers,cubesato,FTR,8.3,9936074,9.98,EX+,
132,enchanted love,linear ring,FTR,8.4,9915040,9.98,EX+,
133,IZANA,t+pazolite vs P*Light,PRS,8.3,9934969,9.97,EX+,
134,Evoltex (poppi'n mix),Arch vs n3pu,FTR,8.9,9813581,9.97,EX,
135,Hall of Mirrors,Sta,FTR,8.2,9950695,9.95,EX+,
136,blue comet,ああああ,FTR,8.2,9949150,9.95,EX+,
137,Tempestissimo,t+pazolite,PRS,9.5,9633268,9.94,AA,
138,Halcyon,xi,PRS,8.2,9947828,9.94,EX+,
139,Black Territory,DJ Myosuke,FTR,9.7,9570023,9.93,AA,
140,Babaroque,cYsmix,FTR,8.5,9883111,9.92,EX,
141,Turbocharger,A/I,FTR,8.9,9801652,9.91,EX,
142,Relentless,Akira Complex,FTR,8.0,9976328,9.88,EX+,
143,I've heard it said,Combatplayer,FTR,8.1,9954517,9.87,EX+,
144,One Last Drive,REDSHiFT,FTR,8.2,9932988,9.86,EX+,
